,AS51 Index,,BHP AT Equity,,,,,CSL AT Equity,,,,,RIO AT Equity,,,,,CBA AT Equity,,,,,WOW AT Equity,,,,,WES AT Equity,,,,,TLS AT Equity,,,,,AMC AT Equity,,,,,BXB AT Equity,,,,,FPH AT Equity,,,,
Dates,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS,PX_LAST,EQY_WEIGHTED_AVG_PX,PX_VOLUME,CUR_MKT_CAP
30/3/15,-1.2458,5846.09,-2.1138,28.1285,28.1708,5488439,158495.368,-0.2722,91.6,91.4562,1069571,43057.5964,-1.2378,55.85,55.7197,1979033,101101.4234,-1.3144,92.7032,92.8416,2195066,150944.8188,-0.4727,29.48,29.4573,3241216,37237.8103,-1.248,31.2886,31.2978,2028657,48894.5606,-1.4107,6.29,6.3099,16198404,76899.3778,-0.2129,14.06,14.0908,3522936,16965.9902,-0.3466,11.5,11.4671,3099998,18012.4899,0.6289,6.4,6.3552,229815,3570.8176
31/3/15,0.7807,5891.505,3.0897,28.9976,28.9474,7356402,160263.7051,0.5677,92.12,93.0175,1182913,43200.3948,2.4709,57.23,57.1166,2147537,100935.9208,0.3222,93.0019,93.3501,2239563,151431.2146,0.0339,29.49,29.6309,3958099,37250.4418,1.011,31.6049,31.6975,1850122,49388.899,0.318,6.31,6.3392,21663931,77143.8909,-0.1422,14.04,14.1324,3623622,16941.8565,0.1739,11.52,11.5431,5205510,18050.2931,0.625,6.44,6.4435,122052,3593.1352
1/4/15,-0.5171,5860.753,-2.2237,28.3528,28.417,8779128,157870.4531,0.5536,92.63,92.8784,768625,43439.5633,-1.4328,56.41,56.4832,1751434,100456.3994,-0.0857,92.9223,92.7002,2235454,151301.509,-0.9834,29.2,29.219,4349085,36884.1269,-0.9327,31.3101,31.318,2228472,48928.2655,0.317,6.33,6.3374,21878951,77388.4041,-0.1425,14.02,14.0105,5841547,16917.7228,-0.3472,11.48,11.5003,3061894,17987.6185,-0.9317,6.38,6.3896,134891,3559.6588
2/4/15,0.6455,5898.582,-0.3955,28.2406,28.2239,7231402,156288.6287,0.7449,93.32,93.4177,721347,43763.1442,-1.1168,55.78,55.7907,2712560,100375.6872,1.1573,93.9977,93.7756,2214293,153052.5338,-0.7192,28.99,29.0274,5255918,36618.8643,-0.0918,31.2814,31.2384,2006960,48883.3257,-0.158,6.32,6.3386,14752806,77266.1475,1.1412,14.18,14.1616,2741762,17110.7924,0.5226,11.54,11.5606,2719521,18081.6304,0.7837,6.43,6.3886,225207,3587.5558
3/4/15,0.6455,5898.582,-0.3955,28.2406,28.2239,7231402,156288.6287,0.7449,93.32,93.4177,721347,43763.1442,-1.1168,55.78,55.7907,2712560,100375.6872,1.1573,93.9977,93.7756,2214293,153052.5338,-0.7192,28.99,29.0274,5255918,36618.8643,-0.0918,31.2814,31.2384,2006960,48883.3257,-0.158,6.32,6.3386,14752806,77266.1475,1.1412,14.18,14.1616,2741762,17110.7924,0.5226,11.54,11.5606,2719521,18081.6304,0.7837,6.43,6.3886,225207,3587.5558
6/4/15,0.6455,5898.582,-0.3955,28.2406,28.2239,7231402,156288.6287,0.7449,93.32,93.4177,721347,43763.1442,-1.1168,55.78,55.7907,2712560,100375.6872,1.1573,93.9977,93.7756,2214293,153052.5338,-0.7192,28.99,29.0274,5255918,36618.8643,-0.0918,31.2814,31.2384,2006960,48883.3257,-0.158,6.32,6.3386,14752806,77266.1475,1.1412,14.18,14.1616,2741762,17110.7924,0.5226,11.54,11.5606,2719521,18081.6304,0.7837,6.43,6.3886,225207,3587.5558
7/4/15,0.4652,5925.966,0.7611,28.4556,28.5729,5551389,158080.8776,0.3,93.6,94.1279,1175587,43894.4524,0.6633,56.15,56.2795,2809483,102877.6681,-0.2013,93.8085,94.4963,3109448,152744.4831,0,28.99,29.1527,4481928,36618.8643,0.1149,31.3173,31.5258,2252922,48939.5005,0.1582,6.33,6.3636,24316689,77388.4041,0.6347,14.27,14.3431,3776987,17219.394,2.253,11.8,11.8362,4820351,18489.0155,1.0886,6.5,6.5187,478486,3626.6116
8/4/15,0.5923,5960.731,0.9524,28.7266,28.7495,4338775,158739.4639,1.3889,94.9,94.7025,1023388,44504.0976,1.5138,57,57.1956,4436475,102731.9396,-0.2229,93.5994,93.6443,1716711,152404.0061,0.207,29.05,29.0568,5427442,36694.6536,0.6657,31.5258,31.5225,1448919,49265.3144,-0.158,6.32,6.342,17077887,77266.1475,0.2102,14.3,14.2897,3982625,17255.5946,0.7627,11.89,11.8797,4152752,18630.0334,1.8462,6.62,6.5781,468128,3693.5644
9/4/15,-0.4784,5932.217,-1.7892,28.2126,28.3277,5881906,155636.8682,-0.6744,94.26,94.9404,802892,44203.9646,-0.7368,56.58,56.704,3627505,101608.4241,-0.1596,93.45,93.6214,1589448,152160.8082,0,29.05,29.0083,4961780,36694.6536,-0.2965,31.4324,31.4781,1425036,49119.2599,-0.7911,6.27,6.2866,16491355,76654.8647,-0.2797,14.26,14.2994,2090514,17136.9985,-0.841,11.79,11.7802,2628948,18473.6764,1.2085,6.7,6.6479,127625,3738.1997
10/4/15,0.6109,5968.366,-0.1656,28.1659,28.0673,4393482,155801.5654,0.9018,95.11,95.1102,508409,44602.5787,0.5479,56.89,56.6122,2729798,101188.5069,0.2983,93.7288,93.5535,1258787,152614.7776,1.7556,29.56,29.4357,4535345,37338.8627,1.5554,31.9212,31.7672,2082534,49883.2374,0.1595,6.28,6.2763,16597840,76777.1212,0.4208,14.32,14.307,2508523,17209.1037,0,11.79,11.7678,2076639,18473.6764,1.194,6.78,6.7633,180635,3782.8349
13/4/15,-0.1356,5960.271,-2.3889,27.493,27.6996,6928162,152314.5273,0.6203,95.7,95.6451,476107,44879.2638,-2.7949,55.3,55.7495,2005912,100210.3352,-0.0319,93.6989,93.9135,1097120,152566.138,0.3045,29.65,29.6114,3308498,37452.5466,-0.4054,31.7918,31.8748,1244877,49681.0081,0.6369,6.32,6.3181,15230582,77266.1475,0.6983,14.42,14.349,2667915,17329.279,-0.933,11.68,11.6901,2290877,18301.3181,0.1475,6.79,6.7504,251324,3788.549
14/4/15,-0.2302,5946.552,-1.0197,27.2127,27.1349,7664302,153181.5585,-0.0836,95.62,95.6188,744252,44841.7472,-0.6148,54.96,54.9847,2709985,102269.6798,-0.3188,93.4002,93.3905,2038630,152668.2021,-1.484,29.21,29.2208,4986716,36896.7584,-0.9498,31.4899,31.4882,1756221,49209.1396,-0.6329,6.28,6.3006,17470071,76777.1212,1.8031,14.68,14.6307,3269305,17641.7348,0.5137,11.74,11.695,2179292,18395.3318,-0.1473,6.78,6.7597,270970,3782.9694
